Taxonomic_name,Taxon,M,Body_length_mm,a,b,Genus,Family,Order,Max_body_size_abbrev,Body_shape_abbrev,Armor_abbrev,Resp_abbrev,Feed_prim_abbrev,Habit_prim_abbrev,Rheophily_abbrev,Drift_abbrev,Female_disp_abbrev,AdultFlyingStrength_abbrev,MaxCrawlRate_abbrev,SwimmingAbility_abbrev,Exit_temporarily_abbrev,AbilityToSurviveDesiccation_abbrev,Voltinism_abbrev,Dev_speed_abbrev,Adult_lifespan_abbrev,Thermal_pref
Hypsibius,Hypsibius,0.0079,NA,NA,NA,Hypsibius,Hypsibiidae,Parachaela,small,not_streamlined,,tegument,HB,CN,eros,rare,low,weak,low,none,absent,present,univoltine,fast,short,NP
Ironodes,Ironodes,5.59637151,9.675,0.0108,2.754,Ironodes,Heptageniidae,Ephemeroptera,medium,streamlined,none,gills,CG,CN,depo_eros,common,low,weak,low,weak,absent,absent,univoltine,fast,very_short,NP
Isoperla,Isoperla,15.874116,11.5,0.0196,2.742,Isoperla,Perlodidae,Plecoptera,medium,not_streamlined,poor,tegument,PR,CN,depo_eros,common,low,weak,high,weak,absent,present,univoltine,slow,very_short,NP
Kogotus,Kogotus,31.12004406,14.7,0.0196,2.742,Kogotus,Perlodidae,Plecoptera,medium,streamlined,poor,tegument,PR,CN,depo_eros,rare,low,weak,high,weak,absent,absent,univoltine,slow,short,CCE
Lednia,Lednia,0.504076967,5.1,0.0056,2.762,Lednia,Nemouridae,Plecoptera,small,not_streamlined,none,gills,SH,SP,depo_eros,common,low,weak,very_low,weak,absent,absent,univoltine,fast,very_short,CCE
Lepidostoma,Lepidostoma,6.358310257,12.5,0.0079,2.649,Lepidostoma,Lepidostomatidae,Trichoptera,medium,not_streamlined,none,gills,SH,CB,depo_eros,rare,low,weak,very_low,none,absent,absent,univoltine,slow,short,CCE
Leucorrhinia,Leucorrhinia,29.7051984,19,0.0076,2.809,Leucorrhinia,Libellulidae,Odonata,medium,not_streamlined,,gills,PR,SP,depo_eros,rare,high,strong,high,weak,absent,absent,semivoltine,slow,long,NP
Limnophila,Limnophila,1.048871212,9,0.0029,2.681,Limnophila,Tipulidae,Diptera,,,,,,,,,,,,,,,,,,
Limnophora,Limnophora,0.83633613,7.8,0.003588889,2.653777778,Limnophora,Muscidae,Diptera,small,streamlined,poor,tegument,PR,SP,eros,rare,low,weak,low,none,present,absent,univoltine,slow,very_short,NP
Limonia,Limonia,2.268208212,12,0.0029,2.681,Limonia,Tipulidae,Diptera,medium,not_streamlined,none,gills,SH,BU,depo_eros,rare,low,weak,low,none,absent,present,univoltine,slow,short,NP
Malenka,Malenka,0.596340159,5.42,0.0056,2.762,Malenka,Nemouridae,Plecoptera,small,not_streamlined,none,gills,SH,SP,depo_eros,common,low,weak,very_low,weak,absent,absent,univoltine,fast,very_short,NP
Megarcys,Megarcys,8.056377103,8.98,0.0196,2.742,Megarcys,Perlodidae,Plecoptera,large,streamlined,poor,gills,PR,CN,eros,rare,low,weak,low,weak,absent,absent,univoltine,slow,short,CCE
Metacnephia,Metacnephia,0.185290381,4.5,0.002,3.011,Metacnephia,Simuliidae,Diptera,small,not_streamlined,none,tegument,CF,CN,eros,common,low,strong,low,none,absent,absent,bi_multivoltine,fast,very_short,NP
Micrasema,Micrasema,5.45856005,10,0.0083,2.818,Micrasema,Brachycentridae,Trichoptera,small,not_streamlined,good,gills,SH,CN,eros,rare,low,weak,very_low,none,absent,absent,univoltine,slow,short,CCE
Monohelea,Monohelea,0.162619632,5.425,0.0025,2.469,Monohelea,Ceratopogonidae,Diptera,small,not_streamlined,poor,tegument,MPR,SP,depo_eros,rare,low,weak,very_low,none,absent,absent,univoltine,fast,very_short,NP
Monophilus,Monophilus,1.212481117,9.5,0.0029,2.681,Monophilus,Tipulidae,Diptera,medium,streamlined,poor,gills,SH,BU,depo_eros,rare,low,weak,low,none,absent,present,univoltine,slow,short,NP
Muscidae,Muscidae,1.259049334,9.1,0.003588889,2.653777778,Muscidae,Muscidae,Diptera,small,streamlined,poor,tegument,PR,BU,depo_eros,rare,low,weak,low,none,present,absent,univoltine,slow,very_short,NP
Narpus,Narpus,0.617772783,4.65,0.0074,2.879,Narpus,Elmidae,Coleoptera,small,streamlined,poor,gills,CG,CN,eros,common,high,weak,low,none,absent,present,semivoltine,non,long,NP
Nectopsyche,Nectopsyche,58.5207311,20.833,0.0034,3.212,Nectopsyche,Leptoceridae,Trichoptera,medium,not_streamlined,poor,gills,SH,CB,depo_eros,rare,high,weak,very_low,weak,absent,absent,univoltine,slow,short,NP
Nematomorpha,Nematomorpha,0.015,9,NA,NA,Nematomorpha,Nematomorpha,Nematomorpha,small,streamlined,poor,pores,PR,BU,depo_eros,rare,low,none,very_low,none,absent,absent,bi_multivoltine,slow,unknown,NP
Nemertea,Nemertea,17,NA,NA,NA,Nemerata,Nemerata,Nemerata,small,streamlined,poor,pores,PR,BU,depo_eros,rare,low,none,very_low,weak,absent,present,semivoltine,non,long,NP
Neoplasta,Neoplasta,1.008478441,7.8,0.0054,2.546,Neoplasta,Empididae,Diptera,medium,not_streamlined,none,tegument,PR,SP,depo_eros,rare,low,weak,low,none,present,absent,univoltine,slow,very_short,NP
Neothremma,Neothremma,11.80486945,14,0.006635714,2.835785714,Neothremma,Uenoidae,Trichoptera,small,not_streamlined,poor,gills,CG,CN,eros,rare,low,weak,very_low,weak,absent,absent,univoltine,slow,short,CCE
Nixe,Nixe,4.945134263,9.25,0.0108,2.754,Nixe,Heptageniidae,Ephemeroptera,small,streamlined,none,gills,CG,CN,depo_eros,common,low,weak,low,weak,absent,absent,univoltine,fast,very_short,CCE
Ochrotrichia,Ochrotrichia,0.472343989,4.5,0.006635714,2.835785714,Ochrotrichia,Hydroptilidae,Trichoptera,small,streamlined,poor,tegument,CG,CN,depo_eros,rare,high,weak,very_low,none,absent,absent,univoltine,slow,very_short,NP
Oligochaeta,Oligochaeta,0.506640431,9,0.008,1.888,Oligochaeta,Oligochaeta,Oligochaeta,large,not_streamlined,poor,pores,CG,BU,depo_eros,rare,low,none,very_low,weak,absent,present,univoltine,slow,long,NP
Onocosmoecus,Onocosmoecus,4.533824833,11,0.004,2.933,Onocosmoecus,Limnephilidae,Trichoptera,large,not_streamlined,good,gills,SH,SP,depo,rare,low,weak,low,none,absent,absent,univoltine,slow,short,CCE
Optioservus,Optioservus,0.136166585,2.75,0.0074,2.879,Optioservus,Elmidae,Coleoptera,small,not_streamlined,poor,tegument,CG,CN,eros,common,high,weak,low,none,absent,present,semivoltine,non,long,CCE
Oreodytes,Oreodytes,2.487221922,5.5,0.014975,2.999,Oreodytes,Dytiscidae,Coleoptera,medium,streamlined,good,plastron_spiracle,PR,SW,depo,rare,high,strong,high,strong,present,absent,semivoltine,slow,long,NP
Oreogeton,Oreogeton,0.539316267,6.1,0.0054,2.546,Oreogeton,Empididae,Diptera,small,not_streamlined,none,gills,PR,SP,depo_eros,rare,low,weak,low,none,present,absent,univoltine,slow,short,NP
Ormosia,Ormosia,1.317877693,9.8,0.0029,2.681,Ormosia,Tipulidae,Diptera,medium,not_streamlined,none,gills,CG,BU,depo_eros,rare,low,weak,low,none,absent,present,univoltine,slow,short,NP
Orohermes,Orohermes,12.3826062,19,0.0018,3.001,Orohermes,Corydalidae,Megaloptera,large,Streamlined,poor,tegument,PR,CN,depo_eros,rare,low,weak,high,none,absent,absent,univoltine,slow,short,CCE
Ostracoda,Ostracoda,0.014,2.23,NA,NA,Ostracoda,Metacopina,Metacopina,small,not_streamlined,poor,none,CG,BU,eros,common,low,none,very_low,none,absent,absent,bi_multivoltine,fast,short,NP
Palpomyia,Palpomyia,0.931404964,11,0.0025,2.469,Palpomyia,Ceratopogonidae,Diptera,small,not_streamlined,poor,tegument,MPR,BU,depo_eros,rare,low,weak,low,none,absent,absent,bi_multivoltine,fast,very_short,NP
Paraleptophlebia,Paraleptophlebia,1.004883072,7.37,0.0047,2.686,Paraleptophlebia,Leptophlebiidae,Ephemeroptera,medium,streamlined,none,gills,CG,SW,depo_eros,common,low,weak,low,weak,absent,absent,univoltine,fast,very_short,NP
Paraperla,Paraperla,15.81062366,17.5,0.0065,2.724,Paraperla,Chloroperlidae,Plecoptera,medium,not_streamlined,none,tegument,PR,CN,depo_eros,common,low,weak,low,weak,absent,absent,univoltine,slow,short,CCE
Parapsyche,Parapsyche,7.624553901,12,0.006635714,2.835785714,Parapsyche,Arctopsychidae,Trichoptera,medium,not_streamlined,well,gills,CF,CN,eros,rare,low,weak,low,none,absent,absent,univoltine,slow,short,NP
Pedicia,Pedicia,4.905052628,16,0.0029,2.681,Pedicia,Tipulidae,Diptera,medium,not_streamlined,none,gills,PR,BU,depo_eros,rare,low,weak,low,none,absent,present,univoltine,slow,short,NP
Pelagic.producers,Pelagic.producers,0.001,,,,,,,,,,,,,,,,,,,,,,,,
Perlinodes,Perlinodes,48.63831109,17.3,0.0196,2.742,Perlinodes,Perlodidae ,Plecoptera,large,streamlined,poor,gills,PR,CN,eros,rare,low,weak,low,weak,absent,absent,univoltine,slow,short,CCE
Pisidium,Pisidium,0.102405857,2.1,1.63E-02,2.477,Pisidium,Pisidiidae,Veneroida,small,not_streamlined,good,none,CF,BU,depo,rare,low,weak,very_low,none,absent,absent,univoltine,fast,short,NP
Planorbidae,Planorbidae,0.102405857,NA,NA,NA,Planorbidae,Planorbidae,Basommatophora,small,not_streamlined,good,none,HB,CB,depo,common,low,weak,very_low,none,absent,absent,univoltine,fast,short,NP
Pleuroceridae,Pleuroceridae,4.89,10,1.63E-02,2.477,Pleuroceridae,Pleuroceridae,Gastropoda,,,,,,,,,,,,,,,,,,
Polycentropus,Polycentropus,2.27173375,9.825,0.0047,2.705,Polycentropus,Polycentropodidae,Trichoptera,medium,not_streamlined,none,tegument,PR,CN,eros,rare,high,weak,very_low,none,absent,absent,univoltine,slow,short,NP
Procloeon,Procloeon,1.089322347,6.375,0.0053,2.875,Procloeon,Baetidae,Ephemeroptera,small,streamlined,none,gills,CG,SW,depo_eros,common,low,weak,low,strong,absent,absent,bi_multivoltine,fast,very_short,NP
Prosimulium,Prosimulium,0.291869328,5.233,0.002,3.011,Prosimulum,Simuliidae,Diptera,small,not_streamlined,none,tegument,CF,CN,eros,common,low,strong,low,none,absent,absent,bi_multivoltine,fast,very_short,NP
Psychoglypha,Psychoglypha,10.61210978,14.7,0.004,2.933,Psychoglypha,Limnephilidae,Trichoptera,large,not_streamlined,good,gills,CG,SP,eros,rare,low,weak,low,none,absent,absent,univoltine,slow,long,CCE
Rhabdomastix,Rhabdomastix,0.353688957,6,0.0029,2.681,Rhabdomastix,Tipulidae,Diptera,,,,,,,,,,,,,,,,,,
Rhithrogena,Rhithrogena,8.4780857,11.25,0.0108,2.754,Rhithrogena,Heptageniidae,Ephemeroptera,medium,streamlined,none,gills,CG,CN,depo_eros,common,low,weak,low,weak,absent,absent,univoltine,fast,very_short,CCE
Rhizelmis,Rhizelmis,0.31573772,3.683,0.0074,2.879,Rhizelmis,Elmidae,Coleoptera,small,not_streamlined,good,gills,CG,CN,depo_eros,common,low,weak,low,none,absent,present,semivoltine,non,long,CCE
Rhyacophila,Rhyacophila,5.337910712,12.633,0.0099,2.48,Rhyacophila,Rhyacophilidae,Trichoptera,medium,not_streamlined,poor,tegument,PR,CN,eros,rare,low,weak,high,weak,absent,absent,univoltine,slow,short,NP
Sanfilippodytes,Sanfilippodytes,0.66911638,3.55,0.014975,2.999,Sanfilippodytes,Dytiscidae,Coleoptera,small,streamlined,poor,plastron_spiracle,PR,SW,depo,rare,high,strong,high,strong,present,absent,semivoltine,slow,long,NP
Sciara,Sciara,0.180043737,4.45,0.004,2.55,Sciara,Sciaridae,Diptera,small,not_streamlined,poor,plastron_spiracle,MPR,SP,eros,common,low,strong,low,none,absent,absent,bi_multivoltine,fast,very_short,NP
Serratella,Serratella,1.176798991,5.875,0.0103,2.676,Serratella,Ephemerellidae,Ephemeroptera,medium,not_streamlined,none,gills,CG,CN,depo_eros,common,low,weak,low,weak,absent,absent,univoltine,slow,very_short,NP
Sialis,Sialis,12.2633857,19,0.0037,2.753,Sialis,Sialidae,Megaloptera,medium,not_streamlined,poor,tegument,PR,BU,depo_eros,rare,low,weak,high,none,absent,absent,univoltine,slow,short,CCE
Simulium,Simulium,0.357951466,5.6,0.002,3.011,Simuliidae,Simuliidae,Diptera,small,not_streamlined,none,tegument,CF,CN,eros,common,low,strong,low,none,absent,absent,bi_multivoltine,fast,very_short,NP
Siphlonurus,Siphlonurus,0.545457768,4.666666667,0.0027,3.446,Siphlonurus,Siphlonuridae,Ephemeroptera,medium,streamlined,none,gills,CG,SW,depo,common,low,weak,high,strong,absent,absent,univoltine,slow,very_short,NP
Skwala,Skwala,67.53532213,19.5,0.0196,2.742,Skwala,Perlodidae,Plecoptera,large,streamlined,poor,tegument,PR,CN,eros,rare,low,weak,low,weak,absent,absent,univoltine,slow,short,CCE
Soyedina,Soyedina,0.789662984,6,0.0056,2.762,Soyedina,Nemouridae,Plecoptera,small,not_streamlined,none,tegument,SH,SP,depo_eros,rare,low,weak,very_low,weak,absent,present,univoltine,fast,very_short,CCE
Stegopterna,Stegopterna,2.733149393,11,0.002,3.011,Stegopterna,Simuliidae,Diptera,small,not_streamlined,none,tegument,CF,CN,eros,common,low,strong,low,none,absent,absent,bi_multivoltine,fast,very_short,CCE
Stictotarsus,Stictotarsus,1.577240309,4.725,0.014975,2.999,Stictotarsus,Dytiscidae,Coleoptera,,,,,,,,,,,,,,,,,,
Stilobezzia,Stilobezzia,0.162619632,5.425,0.0025,2.469,Stilobezzia,Ceratopogonidae,Diptera,small,not_streamlined,poor,tegument,MPR,BU,depo_eros,rare,low,weak,very_low,none,absent,absent,univoltine,fast,very_short,NP
Suwallia,Suwallia,2.473558448,8.857,0.0065,2.724,Suwallia,Chloroperlidae,Plecoptera,medium,not_streamlined,none,tegument,PR,CN,depo_eros,common,low,weak,low,weak,absent,absent,univoltine,slow,short,CCE
Sweltsa,Sweltsa,7.797269444,13.5,0.0065,2.724,Sweltsa,Chloroperlidae,Plecoptera,medium,not_streamlined,none,tegument,PR,CN,depo_eros,common,low,weak,low,weak,absent,absent,semivoltine,slow,short,CCE
Tabanus,Tabanus,6.281787423,16,0.0054,2.546,Tabanus,Tabanidae,Diptera,,,,,,,,,,,,,,,,,,
Tipula,Tipula,10.16875835,21,0.0029,2.681,Tipula,Tipulidae,Diptera,medium,not_streamlined,none,gills,SH,BU,depo_eros,rare,low,weak,low,none,absent,present,univoltine,slow,short,NP
Turbellaria,Turbellaria,0.030679362,2.168,0.0056,2.198,Turbellaria,Turbellaria,Turbellaria,small,streamlined,none,pores,PR,BU,depo_eros,rare,low,none,very_low,weak,absent,absent,bi_multivoltine,slow,very_short,NP
Wiedeman,Wiedemannia,0.325065883,5,0.0054,2.546,Wiedemannia,Empididae,Diptera,medium,not_streamlined,none,tegument,PR,CN,depo_eros,rare,low,weak,low,none,present,absent,univoltine,slow,very_short,NP
Wormaldia,Yoraperla,7.017858546,10.7,0.0141,2.62,Yoraperla,Peltoperlidae,Plecoptera,medium,streamlined,good,gills,SH,CN,eros,common,low,weak,low,weak,absent,absent,univoltine,fast,very_short,NP
Yoraperla,Yphria,2.51842527,8.9,0.0054,2.811,Yphria,Phryganeidae,Trichoptera,small,not_streamlined,poor,gills,PR,BU,eros,rare,low,weak,low,none,absent,absent,univoltine,slow,long,CCE
Zapada,Zapada,0.789662984,6,0.0056,2.762,Zapada,Nemouridae,Plecoptera,small,not_streamlined,none,gills,SH,SP,depo_eros,common,low,weak,very_low,weak,absent,absent,semivoltine,fast,very_short,CCE